account_id,declared_income_annual,total_deposits_90d,total_withdrawals_90d,num_deposits_90d,num_withdrawals_90d,deposit_withdraw_cycle_days_avg,vpn_usage_pct,countries_accessed_count,device_id,ip_hash,account_age_days,kyc_face_match_score,is_fraud
ACC-L-01849,45288.49,13933.58,8513.66,8,10,27.06,4.54,3,DEV-L-01849,IP-L-01849,526,0.9619,False
ACC-L-03349,119266.28,31770.99,28365.69,4,4,27.0,15.45,3,DEV-L-03349,IP-L-03349,671,0.9073,False
ACC-L-03871,85356.21,24196.07,21693.17,9,10,23.36,5.89,2,DEV-L-03871,IP-L-03871,587,0.9868,False
ACC-F-00029,75801.01,54714.85,41501.06,19,25,2.92,65.17,4,DEV-F-0002,IP-F-0029,67,0.8225,True
ACC-F-00065,47548.15,93790.86,78590.46,17,14,3.98,68.66,11,DEV-F-0038,IP-F-0059,90,0.7222,True
ACC-L-00588,40848.82,5340.47,4543.61,7,4,31.08,13.26,3,DEV-L-00588,IP-L-00588,470,0.9391,False
ACC-L-03656,69869.01,11164.49,9629.52,2,8,30.26,4.05,1,DEV-L-03656,IP-L-03656,657,0.9878,False
ACC-L-03523,38541.82,7189.48,5769.47,3,5,17.33,17.93,3,DEV-L-03523,IP-L-03523,440,0.9433,False
ACC-L-04385,114550.02,28221.92,17737.7,13,3,12.62,11.97,3,DEV-L-04385,IP-L-04385,236,0.9184,False
ACC-L-02911,97279.98,21908.87,12688.86,7,5,25.44,4.29,3,DEV-L-02911,IP-L-02911,80,0.9939,False
ACC-L-02409,67425.27,20776.13,14506.8,5,8,31.3,10.36,2,DEV-L-02409,IP-L-02409,252,0.9576,False
ACC-L-04365,71021.8,19070.07,10001.95,14,4,19.53,12.12,1,DEV-L-04365,IP-L-04365,557,0.911,False
ACC-L-04378,32051.46,10040.24,9018.17,11,3,30.17,2.34,1,DEV-L-04378,IP-L-04378,760,0.9219,False
ACC-L-02201,64588.71,19475.47,13461.01,10,6,31.83,11.55,1,DEV-L-02201,IP-L-02201,635,0.9812,False
ACC-L-02596,61620.97,7775.21,6299.27,9,6,17.86,11.94,2,DEV-L-02596,IP-L-02596,258,0.9952,False
ACC-L-00894,35271.72,7703.7,4193.86,7,7,24.01,2.12,1,DEV-L-00894,IP-L-00894,474,0.9218,False
ACC-L-02828,99122.17,27284.53,17650.38,7,6,22.22,4.05,1,DEV-L-02828,IP-L-02828,613,0.9316,False
ACC-L-00853,45142.65,5723.85,3979.63,14,5,12.47,10.35,1,DEV-L-00853,IP-L-00853,439,0.8908,False
ACC-F-00168,77279.6,117867.08,95050.47,8,24,3.5,62.78,6,DEV-F-0042,IP-F-0038,56,0.6083,True
ACC-L-01420,73594.36,20793.22,12200.18,10,8,31.14,3.34,2,DEV-L-01420,IP-L-01420,109,0.9441,False
ACC-L-02320,74780.43,11355.47,10509.5,9,9,29.76,6.35,3,DEV-L-02320,IP-L-02320,196,0.9159,False
ACC-L-02127,40219.45,12028.34,7634.4,14,9,14.64,15.91,1,DEV-L-02127,IP-L-02127,684,0.9823,False
ACC-L-04145,92934.8,23049.4,19942.58,7,4,17.35,9.36,2,DEV-L-04145,IP-L-04145,783,0.9606,False
ACC-L-04007,51894.61,13034.18,7253.22,13,4,30.6,8.48,2,DEV-L-04007,IP-L-04007,424,0.9224,False
ACC-L-03612,39502.96,5620.7,3351.19,8,3,32.81,3.47,3,DEV-L-03612,IP-L-03612,320,0.9148,False
ACC-F-00023,54841.2,62348.35,60056.26,29,21,1.97,76.95,8,DEV-F-0029,IP-F-0068,88,0.8779,True
ACC-L-02383,32649.91,10418.65,7931.06,10,10,20.65,4.04,1,DEV-L-02383,IP-L-02383,642,0.9281,False
ACC-L-03090,104798.02,35286.36,26702.67,4,8,15.58,3.85,3,DEV-L-03090,IP-L-03090,68,0.969,False
ACC-L-01965,66844.45,18819.78,10555.81,11,1,30.38,11.53,1,DEV-L-01965,IP-L-01965,705,0.9289,False
ACC-L-03432,53375.37,14063.6,10352.93,9,5,22.62,3.74,2,DEV-L-03432,IP-L-03432,47,0.9078,False
ACC-L-04474,96054.96,16029.32,14756.59,6,8,14.13,8.35,3,DEV-L-04474,IP-L-04474,668,0.897,False
ACC-L-01657,56731.39,17657.95,13716.49,8,1,24.62,12.14,3,DEV-L-01657,IP-L-01657,773,0.954,False
ACC-F-00084,30003.85,55000.51,46129.95,34,10,3.95,94.91,11,DEV-F-0007,IP-F-0046,65,0.5944,True
ACC-F-00227,67502.0,93129.35,81172.66,18,9,5.27,72.15,7,DEV-F-0017,IP-F-0008,170,0.823,True
ACC-L-00046,62499.76,20880.27,11621.46,4,6,26.83,8.32,2,DEV-L-00046,IP-L-00046,183,0.985,False
ACC-L-00751,90521.66,28604.3,21499.95,2,9,25.3,9.97,3,DEV-L-00751,IP-L-00751,615,0.9894,False
ACC-L-01888,39333.41,5851.9,3987.39,10,8,15.35,16.64,1,DEV-L-01888,IP-L-01888,54,0.9687,False
ACC-L-00461,80391.43,27401.43,21843.08,9,8,12.54,8.62,1,DEV-L-00461,IP-L-00461,754,0.8856,False
ACC-L-02551,55743.23,15509.89,9556.2,4,4,33.79,13.96,3,DEV-L-02551,IP-L-02551,223,0.9248,False
ACC-L-02277,67868.28,14394.39,13141.74,9,6,29.84,7.02,1,DEV-L-02277,IP-L-02277,374,0.9698,False
ACC-L-03502,76343.22,16596.32,13324.36,11,8,14.84,8.67,3,DEV-L-03502,IP-L-03502,133,0.9394,False
ACC-L-03071,41680.45,7636.67,6977.71,2,8,16.16,2.46,1,DEV-L-03071,IP-L-03071,742,0.9579,False
ACC-L-02931,43323.26,13449.88,12562.35,13,9,24.1,7.88,1,DEV-L-02931,IP-L-02931,644,0.9394,False
ACC-L-03933,99742.5,21884.26,15622.94,4,6,31.71,12.88,1,DEV-L-03933,IP-L-03933,347,0.9488,False
ACC-L-01365,108313.94,18196.04,13159.62,7,4,21.2,7.77,2,DEV-L-01365,IP-L-01365,570,0.9648,False
ACC-L-02774,60580.58,12876.74,8995.28,2,7,28.72,14.43,1,DEV-L-02774,IP-L-02774,212,0.8989,False
ACC-L-01163,113911.03,17257.75,12420.55,12,10,29.35,13.55,2,DEV-L-01163,IP-L-01163,639,0.9676,False
ACC-L-00513,47222.67,7845.83,6447.79,10,2,19.05,4.44,1,DEV-L-00513,IP-L-00513,417,0.8898,False
ACC-L-00405,75640.25,20063.97,14934.08,8,7,15.44,16.88,1,DEV-L-00405,IP-L-00405,374,0.9718,False
ACC-L-04547,75683.15,16417.69,11462.02,11,7,31.81,15.84,2,DEV-L-00047,IP-L-04547,401,0.9715,False
ACC-L-03599,39261.62,11743.76,7322.45,2,2,17.41,7.71,2,DEV-L-03599,IP-L-03599,774,0.9976,False
ACC-L-03903,62330.29,21410.37,20242.23,6,7,15.42,16.57,3,DEV-L-03903,IP-L-03903,270,0.9275,False
ACC-L-00218,37890.39,12334.69,6581.63,8,4,16.37,13.23,2,DEV-L-00218,IP-L-00218,289,0.9911,False
ACC-F-00157,27326.59,34070.07,32757.86,9,4,3.63,56.66,6,DEV-F-0025,IP-F-0015,177,0.8667,True
ACC-L-01045,34516.09,6939.78,4728.33,13,2,30.74,7.75,2,DEV-L-01045,IP-L-01045,415,0.9922,False
ACC-L-00247,40338.49,9217.35,6904.37,14,2,13.59,15.24,3,DEV-L-00247,IP-L-00247,303,0.9721,False
ACC-L-04490,47944.47,11246.1,7764.29,11,8,30.37,3.72,1,DEV-L-04490,IP-L-04490,570,0.8989,False
ACC-L-02690,71724.71,11907.91,9843.88,8,2,27.37,4.52,1,DEV-L-02690,IP-L-02690,416,0.9787,False
ACC-L-03206,89689.15,12718.45,9974.52,13,11,31.13,15.33,3,DEV-L-03206,IP-L-03206,743,0.996,False
ACC-L-00123,42852.44,5900.93,4799.05,13,3,30.9,12.55,1,DEV-L-00123,IP-L-00123,239,0.9617,False
ACC-F-00079,35278.44,55107.26,50305.42,15,18,3.46,71.47,3,DEV-F-0009,IP-F-0047,155,0.7835,True
ACC-L-01303,99429.51,34222.59,26113.02,2,10,34.17,16.89,3,DEV-L-01303,IP-L-01303,557,0.8832,False
ACC-L-01419,88753.57,30204.6,25563.26,4,3,34.78,6.25,3,DEV-L-01419,IP-L-01419,697,0.9802,False
ACC-L-01881,50780.06,14078.5,13243.91,12,3,34.05,9.39,3,DEV-L-01881,IP-L-01881,47,0.9198,False
ACC-L-04189,75489.05,13961.94,11025.02,10,10,17.35,16.33,2,DEV-L-04189,IP-L-04189,767,0.9963,False
ACC-L-00215,67088.2,17572.71,15507.59,4,8,14.89,17.42,3,DEV-L-00215,IP-L-00215,398,0.9491,False
ACC-F-00248,71135.83,109779.05,95079.86,13,27,2.09,58.16,3,DEV-F-0042,IP-F-0015,61,0.6631,True
ACC-L-00681,69537.8,13042.87,8149.26,9,3,15.69,7.45,1,DEV-L-00681,IP-L-00681,161,0.9582,False
ACC-L-01085,109772.15,30340.66,25000.56,11,3,14.45,4.04,2,DEV-L-01085,IP-L-01085,699,0.933,False
ACC-L-04274,32774.77,4609.29,2650.39,14,8,23.75,8.03,3,DEV-L-04274,IP-L-04274,793,0.9021,False
ACC-L-01088,60790.18,17024.55,10447.42,2,8,29.41,10.7,3,DEV-L-01088,IP-L-01088,67,0.9145,False
ACC-L-01156,76102.69,21713.73,12960.9,10,8,21.47,13.94,2,DEV-L-01156,IP-L-01156,782,0.9122,False
ACC-L-00840,99563.88,16527.81,9237.05,10,4,21.87,6.88,3,DEV-L-00840,IP-L-00840,511,0.9964,False
ACC-L-03959,62826.89,18199.95,9304.9,8,7,20.08,15.69,3,DEV-L-03959,IP-L-03959,139,0.9904,False
ACC-L-00492,74700.01,23988.36,12463.03,7,1,17.36,15.83,3,DEV-L-00492,IP-L-00492,428,0.9425,False
ACC-L-02073,80498.49,21394.92,17603.26,7,11,15.63,2.41,3,DEV-L-02073,IP-L-02073,523,0.9762,False
ACC-L-03351,112022.85,19860.62,13164.78,8,10,30.83,4.68,3,DEV-L-03351,IP-L-03351,200,0.9213,False
ACC-L-01873,104711.51,29893.26,27012.16,5,10,20.92,9.43,3,DEV-L-01873,IP-L-01873,215,0.9553,False
ACC-L-01844,95850.78,15613.63,9461.57,9,11,14.15,9.0,2,DEV-L-01844,IP-L-01844,340,0.9024,False
ACC-F-00240,70486.85,89731.16,87411.55,7,4,1.81,82.05,4,DEV-F-0036,IP-F-0024,66,0.5015,True
ACC-L-02101,26111.75,4940.98,4546.36,9,5,22.88,10.99,3,DEV-L-02101,IP-L-02101,176,0.9829,False
ACC-L-01120,58365.86,11217.47,9062.53,6,3,21.19,9.37,3,DEV-L-01120,IP-L-01120,776,0.9309,False
ACC-L-00807,69049.2,9691.75,7501.9,7,3,15.69,10.71,1,DEV-L-00807,IP-L-00807,139,0.916,False
ACC-L-04566,70669.89,12271.91,7097.88,6,1,15.27,8.96,2,DEV-L-00066,IP-L-04566,127,0.8808,False
ACC-F-00199,46596.39,32187.27,22873.76,27,14,4.36,87.09,5,DEV-F-0035,IP-F-0001,16,0.8635,True
ACC-L-02030,52450.59,12671.0,8422.65,9,7,25.33,15.05,3,DEV-L-02030,IP-L-02030,56,0.987,False
ACC-L-04499,68305.22,23773.33,19590.72,8,5,24.2,9.24,2,DEV-L-04499,IP-L-04499,626,0.974,False
ACC-L-01970,110598.66,35581.68,18540.41,12,6,34.94,13.92,1,DEV-L-01970,IP-L-01970,296,0.9583,False
ACC-L-04521,109805.48,18046.44,16865.24,6,1,31.67,10.41,1,DEV-L-00021,IP-L-04521,465,0.9016,False
ACC-L-02569,47892.3,15927.39,14174.17,5,3,33.72,16.33,2,DEV-L-02569,IP-L-02569,554,0.9586,False
ACC-L-02900,58547.64,11183.68,10517.57,2,11,25.21,17.7,2,DEV-L-02900,IP-L-02900,304,0.9325,False
ACC-L-04006,118568.0,31764.18,23047.85,14,11,33.93,11.16,1,DEV-L-04006,IP-L-04006,167,0.9441,False
ACC-L-02857,101972.75,18871.13,9728.45,5,7,29.16,6.19,1,DEV-L-02857,IP-L-02857,162,0.8975,False
ACC-L-01723,81554.52,12987.4,8313.49,7,4,29.67,8.42,3,DEV-L-01723,IP-L-01723,229,0.8921,False
ACC-L-01125,62389.89,14421.25,12338.78,9,10,29.82,7.4,3,DEV-L-01125,IP-L-01125,89,0.9387,False
ACC-L-03718,52051.35,12253.22,7256.34,6,1,27.79,8.87,3,DEV-L-03718,IP-L-03718,664,0.9202,False
ACC-L-03812,54318.38,11930.66,7310.35,14,2,29.37,9.31,1,DEV-L-03812,IP-L-03812,664,0.944,False
ACC-L-04195,36775.86,11063.62,6243.59,8,9,14.48,9.69,3,DEV-L-04195,IP-L-04195,201,0.8875,False
ACC-L-03307,89211.52,19154.93,17302.69,7,6,28.34,16.55,2,DEV-L-03307,IP-L-03307,616,0.9803,False
ACC-L-00714,46002.49,10942.21,8159.13,4,7,15.92,10.0,3,DEV-L-00714,IP-L-00714,576,0.943,False
ACC-F-00179,39980.11,61791.04,60453.82,6,9,3.88,84.23,6,DEV-F-0028,IP-F-0069,23,0.7137,True
ACC-L-03448,78160.87,19181.44,9938.69,2,5,32.16,7.44,2,DEV-L-03448,IP-L-03448,258,0.9427,False
ACC-L-03571,27058.4,4396.05,2567.89,10,8,15.59,15.8,3,DEV-L-03571,IP-L-03571,602,0.8836,False
ACC-L-04628,106543.38,25478.82,21418.02,3,11,26.74,4.48,3,DEV-L-00128,IP-L-04628,383,0.9068,False
ACC-L-03649,95494.4,13063.08,9166.38,4,3,18.16,6.83,2,DEV-L-03649,IP-L-03649,41,0.9667,False
ACC-L-04237,98176.02,34239.57,28986.74,4,6,18.22,13.84,1,DEV-L-04237,IP-L-04237,723,0.947,False
ACC-L-02988,108290.54,24091.23,14714.9,14,8,13.74,11.67,3,DEV-L-02988,IP-L-02988,306,0.9755,False
ACC-L-02724,105312.57,21966.85,17085.5,12,10,24.66,17.6,1,DEV-L-02724,IP-L-02724,399,0.8871,False
ACC-L-03330,91026.59,31084.77,24643.24,6,4,27.83,8.35,3,DEV-L-03330,IP-L-03330,118,0.8903,False
ACC-L-02637,54350.11,10019.5,6549.81,12,7,29.42,17.43,1,DEV-L-02637,IP-L-02637,501,0.9834,False
ACC-L-02325,94303.85,11493.51,9543.9,9,8,17.25,3.92,1,DEV-L-02325,IP-L-02325,644,0.8956,False
ACC-L-01169,101184.9,29057.09,24901.66,6,4,27.41,12.68,2,DEV-L-01169,IP-L-01169,280,0.8978,False
ACC-L-03657,46885.68,11964.67,6404.11,14,5,27.05,9.79,3,DEV-L-03657,IP-L-03657,618,0.9224,False
ACC-L-04423,43082.97,7957.51,7292.11,8,8,32.34,9.05,3,DEV-L-04423,IP-L-04423,53,0.889,False
ACC-L-04652,57174.08,10263.58,9028.57,14,9,33.49,13.94,1,DEV-L-00152,IP-L-04652,478,0.9529,False
ACC-L-01610,102370.24,13042.22,6801.26,3,6,20.68,13.15,1,DEV-L-01610,IP-L-01610,276,0.9344,False
ACC-F-00008,68927.69,110072.62,99519.08,5,30,1.56,69.34,11,DEV-F-0013,IP-F-0029,165,0.823,True
ACC-L-02644,115886.7,33663.46,18827.97,12,8,29.94,10.41,1,DEV-L-02644,IP-L-02644,527,0.9135,False
ACC-L-02597,91746.19,14669.21,10477.03,12,10,23.33,10.57,3,DEV-L-02597,IP-L-02597,248,0.9769,False
ACC-L-03414,86236.35,16630.44,9143.48,11,7,33.07,9.24,2,DEV-L-03414,IP-L-03414,498,0.929,False
ACC-F-00144,73773.28,106441.41,92886.02,13,21,5.69,92.89,6,DEV-F-0042,IP-F-0062,70,0.8096,True
ACC-L-01854,68892.07,11249.26,8585.97,13,6,23.94,4.15,3,DEV-L-01854,IP-L-01854,656,0.9259,False
ACC-L-02893,81527.93,20816.1,13955.5,11,7,21.85,12.83,3,DEV-L-02893,IP-L-02893,597,0.9663,False
ACC-L-00591,115382.66,30360.97,24835.98,5,11,33.45,9.81,3,DEV-L-00591,IP-L-00591,573,0.9593,False
ACC-L-00878,31759.75,10342.39,9304.9,9,9,31.44,9.68,3,DEV-L-00878,IP-L-00878,214,0.9131,False
ACC-F-00151,47948.77,85084.96,65176.93,30,11,3.15,79.07,4,DEV-F-0030,IP-F-0064,44,0.8247,True
ACC-L-03341,74046.36,16560.75,15201.95,3,7,20.03,13.38,1,DEV-L-03341,IP-L-03341,700,0.9914,False
ACC-L-00802,87870.12,19603.16,13741.24,11,4,17.95,13.45,1,DEV-L-00802,IP-L-00802,730,0.9404,False
ACC-L-01340,31188.04,9339.33,7846.38,11,1,12.1,10.02,2,DEV-L-01340,IP-L-01340,63,0.9305,False
ACC-L-02758,112887.18,39034.55,29482.99,3,10,17.33,3.78,2,DEV-L-02758,IP-L-02758,611,0.9454,False
ACC-L-01779,90079.29,24722.51,14019.37,4,11,12.99,13.51,2,DEV-L-01779,IP-L-01779,135,0.9403,False
ACC-L-03168,115313.78,25572.31,14640.4,4,11,21.05,7.96,1,DEV-L-03168,IP-L-03168,164,0.9249,False
ACC-L-01557,106028.64,20465.37,15741.78,12,6,21.25,13.72,2,DEV-L-01557,IP-L-01557,69,0.9976,False
ACC-L-02446,70349.35,19245.05,16570.58,8,6,32.11,2.02,2,DEV-L-02446,IP-L-02446,786,0.9174,False
ACC-L-02789,115266.35,31750.58,28042.87,2,11,21.63,2.4,3,DEV-L-02789,IP-L-02789,369,0.9084,False
ACC-L-00222,118651.51,14243.27,11056.92,6,6,26.91,2.98,3,DEV-L-00222,IP-L-00222,349,0.9662,False
ACC-L-03039,98421.48,25685.83,18914.19,6,11,14.45,15.24,3,DEV-L-03039,IP-L-03039,503,0.9019,False
ACC-L-03824,47582.51,10587.3,9056.42,2,3,24.5,3.45,1,DEV-L-03824,IP-L-03824,600,0.8912,False
ACC-L-03246,61762.81,18104.11,15378.93,5,7,27.01,9.6,1,DEV-L-03246,IP-L-03246,777,0.9738,False
ACC-L-00029,85818.84,16188.87,9845.62,7,3,22.31,10.17,2,DEV-L-00029,IP-L-00029,199,0.9666,False
ACC-L-01491,82238.58,21976.63,13675.97,10,3,12.86,14.3,3,DEV-L-01491,IP-L-01491,214,0.966,False
ACC-L-04374,57514.4,19943.65,18572.93,8,6,22.88,6.23,2,DEV-L-04374,IP-L-04374,458,0.9127,False
ACC-L-02636,46805.62,11132.06,10131.66,6,5,15.62,12.05,3,DEV-L-02636,IP-L-02636,555,0.953,False
ACC-L-01691,118624.34,24251.16,20622.21,11,11,19.88,2.35,3,DEV-L-01691,IP-L-01691,269,0.9496,False
ACC-F-00100,25130.51,22889.96,16193.02,33,22,4.0,71.86,4,DEV-F-0028,IP-F-0015,165,0.7374,True
ACC-L-02554,73331.54,18119.57,11743.28,7,1,17.93,6.52,1,DEV-L-02554,IP-L-02554,569,0.971,False
ACC-L-03320,115496.59,27137.21,16660.37,10,2,30.77,2.91,1,DEV-L-03320,IP-L-03320,321,0.9391,False
ACC-L-03434,112581.51,32282.65,27335.77,7,2,20.55,17.82,2,DEV-L-03434,IP-L-03434,472,0.965,False
ACC-L-03411,77505.78,22065.86,14738.01,3,9,21.72,5.13,1,DEV-L-03411,IP-L-03411,434,0.9014,False
ACC-L-00280,57046.41,17703.24,8856.38,2,6,17.55,5.74,3,DEV-L-00280,IP-L-00280,172,0.9305,False
ACC-L-01636,46225.6,8839.45,7206.64,13,6,26.3,11.44,3,DEV-L-01636,IP-L-01636,256,0.9746,False
ACC-L-00431,96849.46,23643.1,12645.93,3,4,14.35,8.57,2,DEV-L-00431,IP-L-00431,116,0.9802,False
ACC-L-03544,39910.54,11946.06,8071.19,12,2,33.69,13.1,3,DEV-L-03544,IP-L-03544,701,0.8909,False
ACC-L-03694,49774.33,16384.12,10918.45,4,7,12.73,5.71,2,DEV-L-03694,IP-L-03694,593,0.9934,False
ACC-L-04416,33337.13,6929.21,3882.94,4,9,26.0,13.06,3,DEV-L-04416,IP-L-04416,544,0.968,False
ACC-L-01768,94534.5,13019.05,11175.7,13,6,13.37,8.43,3,DEV-L-01768,IP-L-01768,250,0.8933,False
ACC-L-00846,104657.59,35416.65,31563.63,3,8,19.73,4.47,1,DEV-L-00846,IP-L-00846,683,0.9415,False
ACC-L-00579,28811.84,9431.06,7081.25,7,1,31.19,15.33,3,DEV-L-00579,IP-L-00579,287,0.9765,False
ACC-L-02555,51619.27,11038.78,5705.0,13,1,31.04,8.31,1,DEV-L-02555,IP-L-02555,228,0.9764,False
ACC-L-03579,80097.79,26625.07,22778.18,14,10,32.5,14.82,1,DEV-L-03579,IP-L-03579,455,0.9394,False
ACC-L-04131,75703.72,13341.01,6938.39,3,3,30.59,2.2,2,DEV-L-04131,IP-L-04131,362,0.9269,False
ACC-L-03641,27810.52,4203.63,3524.33,12,2,18.41,3.91,3,DEV-L-03641,IP-L-03641,220,0.952,False
ACC-L-00514,83900.13,16633.31,14723.25,10,2,16.15,9.77,2,DEV-L-00514,IP-L-00514,234,0.9705,False
ACC-L-02517,86616.09,26291.78,19676.38,13,11,34.05,2.61,1,DEV-L-02517,IP-L-02517,190,0.9241,False
ACC-L-04078,103139.86,13482.99,8475.69,5,2,34.44,2.05,2,DEV-L-04078,IP-L-04078,491,0.9495,False
ACC-L-03045,96601.11,31798.04,23204.1,11,1,26.78,12.79,3,DEV-L-03045,IP-L-03045,286,0.9004,False
ACC-L-01944,89174.15,16767.49,11030.95,8,6,23.32,6.09,2,DEV-L-01944,IP-L-01944,311,0.9838,False
ACC-L-02107,26070.6,5241.22,3797.35,8,11,17.17,9.43,2,DEV-L-02107,IP-L-02107,710,0.9199,False
ACC-L-03175,49493.49,9940.07,6556.71,8,1,13.12,14.01,2,DEV-L-03175,IP-L-03175,293,0.8956,False
ACC-L-03729,94589.76,32917.9,20311.73,13,7,19.85,13.71,1,DEV-L-03729,IP-L-03729,100,0.8806,False
ACC-L-00661,52510.36,13272.31,7029.7,7,11,21.37,16.99,1,DEV-L-00661,IP-L-00661,342,0.971,False
ACC-L-02895,57493.21,8670.29,7595.0,6,2,25.0,5.36,2,DEV-L-02895,IP-L-02895,419,0.962,False
ACC-L-00749,91168.18,18825.28,17397.84,3,5,25.52,6.03,3,DEV-L-00749,IP-L-00749,553,0.9459,False
ACC-L-03403,88440.95,20962.89,17129.47,6,10,28.39,11.24,3,DEV-L-03403,IP-L-03403,78,0.9639,False
ACC-L-02233,89684.29,26071.0,22578.49,2,5,12.82,17.59,3,DEV-L-02233,IP-L-02233,164,0.9943,False
ACC-L-03826,74947.23,18732.12,17752.14,4,4,31.36,8.65,1,DEV-L-03826,IP-L-03826,87,0.9296,False
