account_id,declared_monthly_income,account_age_days,country_of_registration,avg_monthly_deposit,avg_monthly_withdrawal,deposit_income_ratio,num_deposits_30d,num_withdrawals_30d,deposit_withdraw_time_hours,net_flow_ratio,num_logins_30d,vpn_login_ratio,countries_accessed,high_risk_country_access,device_id,ip_address,kyc_doc_score,face_match_score,selfie_liveness_pass,shared_device_count,shared_ip_count,linked_account_count
ACC-000019,8410.321848419175,220,NL,8241.64,4412.02,0.9799434109257555,10,4,24.0,0.465,28,0.061,"[""SG"", ""US"", ""NL"", ""IT""]",False,DEV-L03807,IP-L07876,0.806,0.8,True,3,0,3
ACC-000020,1895.4451900884135,466,AU,1869.85,953.92,0.9864962524169376,10,3,31.5,0.49,53,0.175,"[""NL"", ""MX"", ""DE"", ""IN"", ""GB"", ""ZZ"", ""YY""]",True,DEV-L00607,IP-L06169,0.583,0.764,True,0,0,0
ACC-000021,3732.713249726219,330,ES,2595.3,1634.53,0.6952846262356699,7,2,24.0,0.37,31,0.112,"[""YY"", ""ZZ"", ""XX""]",True,DEV-L00634,IP-L01074,0.917,0.877,True,1,2,3
ACC-000022,3002.412335010409,958,BR,6995.37,2785.08,2.329915430494981,11,6,506.0,0.602,34,0.147,"[""CA""]",False,DEV-L00588,IP-L03231,0.807,0.772,True,0,1,1
ACC-000023,6806.589956655736,826,AU,17357.79,9746.82,2.550145426093869,5,7,24.0,0.438,39,0.278,"[""AU"", ""ZZ""]",True,DEV-L03838,IP-L01973,0.482,0.854,True,2,0,2
ACC-000024,7582.6828712810475,54,XX,6195.35,4663.41,0.8170398042453489,4,4,61.9,0.247,44,0.097,"[""ES"", ""BR""]",False,DEV-L06103,IP-L06683,0.587,0.857,True,2,0,2
ACC-000025,7362.186985100621,384,ZZ,8169.95,2496.93,1.1097180346141047,6,4,24.0,0.694,27,0.196,"[""MX"", ""GB""]",False,DEV-L06783,IP-L05594,0.822,0.733,True,1,2,3
ACC-000026,2188.055709895537,258,AU,2187.31,1447.36,0.999657863896736,10,4,30.2,0.338,48,0.132,"[""CA"", ""BR"", ""US"", ""GB""]",False,DEV-L03389,IP-L05914,0.858,0.71,True,1,1,2
ACC-000027,4206.421190694601,297,YY,6940.27,6171.48,1.6499237303322343,5,4,80.4,0.111,27,0.061,"[""YY"", ""US"", ""GB"", ""FR"", ""MX""]",True,DEV-L03688,IP-L07211,0.894,0.793,True,0,2,2
ACC-000028,8953.190045660638,67,ZZ,18368.22,9949.16,2.051583894384933,4,6,237.7,0.458,35,0.213,"[""XX"", ""AU"", ""US"", ""ES""]",True,DEV-L05037,IP-L06319,0.62,0.849,False,0,0,0
ACC-000029,3807.721597440275,96,CA,10358.1,9404.45,2.7202893598638758,14,12,28.6,0.092,29,0.599,"[""FR"", ""MX"", ""NL"", ""US"", ""IN"", ""XX""]",True,DEV-C08,IP-C08,0.515,0.395,False,49,54,103
ACC-000030,1143.0944028715246,1801,ES,668.1,256.66,0.584463940450437,12,4,42.3,0.616,47,0.113,"[""NL""]",False,DEV-L00081,IP-L06278,0.913,0.866,True,1,2,3
ACC-000031,3662.2972717556922,267,IN,8260.95,7139.84,2.2556733689654265,15,16,10.2,0.136,26,0.713,"[""ES"", ""GB"", ""DE"", ""XX"", ""NL""]",True,DEV-C09,IP-C09,0.626,0.481,True,49,49,98
ACC-000032,5006.766125327392,540,US,2124.03,1169.73,0.4242327863133792,8,3,24.0,0.449,39,0.076,"[""IN""]",False,DEV-L01406,IP-L07410,0.604,0.99,True,1,3,4
ACC-000033,5949.5439349874605,74,CA,14857.34,12862.36,2.497224039440112,19,18,7.5,0.134,19,0.889,"[""IN"", ""FR"", ""XX"", ""AU""]",True,DEV-C12,IP-C12,0.644,0.784,False,49,54,103
ACC-000034,4921.6840803182195,95,IN,4131.97,1551.65,0.839543537332285,4,6,31.2,0.624,22,0.7689310462179538,"[""FR"", ""CA""]",False,DEV-L01480,IP-L03598,0.959,0.692,True,0,2,2
ACC-000035,3478.606422217125,135,GB,18476.8,17568.06,5.311553428098811,11,13,12.7,0.049,39,0.919,"[""FR"", ""CA"", ""BR"", ""DE"", ""MX"", ""XX"", ""ES"", ""ZZ"", ""US"", ""GB"", ""AU""]",True,DEV-C09,IP-C09,0.38,0.466,True,49,49,98
ACC-000036,1692.3034136295516,146,BR,1152.78,540.17,0.681190597685463,7,6,24.0,0.531,53,0.222,"[""IT"", ""GB"", ""BR"", ""IN""]",False,DEV-L04183,IP-L03680,0.608,0.972,True,1,1,2
ACC-000037,3712.032673584025,741,BR,3227.46,1306.22,0.8694590523768408,8,5,24.0,0.595,45,0.269,"[""CA"", ""SG"", ""IN"", ""IT""]",False,DEV-L07644,IP-L04310,0.903,0.819,True,0,3,3
ACC-000038,6531.527565895767,564,NL,8260.14,6528.19,1.2646566155683312,6,3,97.3,0.21,39,0.105,"[""BR"", ""MX"", ""ZZ"", ""DE""]",True,DEV-L02599,IP-L05616,0.982,0.76,True,0,1,1
ACC-000039,4089.4391715407082,323,SG,9308.54,8000.41,2.276238445680942,16,15,16.7,0.141,51,0.645,"[""XX"", ""SG"", ""US"", ""BR"", ""AU"", ""GB""]",True,DEV-C05,IP-C06,0.405,0.52,True,49,53,102
ACC-000040,6147.423913594273,593,ZZ,9620.7,8465.81,1.5649964839015964,8,4,24.0,0.12,29,0.196,"[""SG"", ""NL"", ""DE"", ""CA"", ""MX""]",False,DEV-L03853,IP-L02292,0.795,0.685,True,1,1,2
ACC-000041,3602.739926498312,57,BR,3565.21,1212.14,0.9895816033480178,7,7,36.4,0.66,50,0.331,"[""IN"", ""SG""]",False,DEV-L08422,IP-L07550,0.739,0.922,True,3,0,3
ACC-000042,4203.932399347005,280,BR,5950.78,2811.52,1.4155278479323685,4,5,24.0,0.528,28,0.163,"[""US"", ""FR"", ""CA"", ""AU"", ""YY""]",True,DEV-L06991,IP-L00114,0.904,0.916,True,2,0,2
ACC-000043,6382.960171399627,177,GB,5641.25,4977.19,0.8837978623267791,4,4,44.3,0.118,22,0.179,"[""XX"", ""YY""]",True,DEV-L02347,IP-L01041,0.525,0.922,True,0,1,1
ACC-000044,4392.298090923232,476,XX,7393.22,2690.84,1.6832242746220525,7,3,24.8,0.636,33,0.404,"[""ES""]",False,DEV-L07980,IP-L07871,0.774,0.715,True,0,0,0
ACC-000045,3818.2458885686233,209,SG,2306.76,1369.97,0.6041408605639917,4,2,24.0,0.406,21,0.119,"[""FR""]",False,DEV-L03676,IP-L06109,0.841,0.601,True,1,0,1
ACC-000046,7034.5194143087165,549,IT,7421.29,5146.69,1.0549817645474295,5,7,24.0,0.306,33,0.215,"[""GB"", ""ZZ""]",True,DEV-L03065,IP-L02036,0.833,0.951,True,1,2,3
ACC-000047,4659.600053612033,576,NL,2201.95,961.18,0.47256286732749614,4,1,119.5,0.563,30,0.066,"[""YY"", ""BR""]",True,DEV-L00540,IP-L00076,0.805,0.836,True,2,2,4
ACC-000048,2938.801510907419,312,NL,3318.18,2540.72,1.12909124412332,5,5,24.0,0.234,41,0.478,"[""CA"", ""YY""]",True,DEV-L00023,IP-L05134,0.846,0.721,True,2,1,3
ACC-000049,4500.4705518025985,533,US,5045.98,4093.93,1.121212297415541,7,7,33.8,0.189,46,0.497,"[""ES"", ""AU""]",False,DEV-L04267,IP-L05988,0.636,0.941,True,0,0,0
ACC-000050,3870.1024542053383,587,BR,2114.9,1139.12,0.546471291986398,8,4,41.7,0.461,41,0.155,"[""ZZ"", ""IT"", ""FR"", ""YY"", ""DE"", ""AU""]",True,DEV-L07652,IP-L08680,0.864,0.819,False,1,0,1
ACC-000051,2771.1630801438278,456,FR,2904.42,2098.44,1.0480858956162065,4,6,31.9,0.278,16,0.073,"[""NL"", ""IN"", ""DE""]",False,DEV-L03659,IP-L02419,0.663,0.926,True,2,2,4
ACC-000052,16088.18667253592,576,CA,19161.74,11850.42,1.1910441540412562,6,7,32.4,0.382,25,0.153,"[""US"", ""IN"", ""ES"", ""YY""]",True,DEV-L03495,IP-L00756,0.561,0.74,True,0,0,0
ACC-000053,3267.637191748139,781,BR,5015.04,3551.23,1.5347600406182385,10,5,24.0,0.292,23,0.427,"[""IT"", ""US""]",False,DEV-L08448,IP-L01779,0.619,0.532,True,2,0,2
ACC-000054,5752.268678769846,279,US,9965.84,5680.01,1.7325066947098111,4,3,24.2,0.43,26,0.138,"[""YY"", ""FR"", ""DE""]",True,DEV-L06487,IP-L00258,0.944,0.963,True,3,2,5
ACC-000055,4226.8636494793445,192,CA,4286.92,1373.31,1.0142076901838155,7,9,39.2,0.68,30,0.58,"[""DE"", ""GB""]",False,DEV-L08014,IP-L01118,0.878,0.843,False,0,0,0
ACC-000056,10118.75937601885,571,AU,11728.64,5801.37,1.1590984429957165,7,8,30.9,0.505,46,0.068,"[""FR"", ""US"", ""NL"", ""XX""]",True,DEV-L03017,IP-L04341,0.787,0.907,True,3,0,3
ACC-000057,10601.8693816196,226,XX,6186.08,2950.18,0.5834897566241571,8,3,24.0,0.523,33,0.437,"[""ES"", ""MX"", ""GB""]",False,DEV-L08378,IP-L01797,0.953,0.737,True,1,1,2
ACC-000058,6613.326039307201,399,MX,6910.3,5904.99,1.0449059016104258,10,2,280.7,0.145,59,0.15,"[""YY"", ""IN"", ""FR"", ""AU"", ""ES""]",True,DEV-L05691,IP-L03196,0.359,0.707,True,1,3,4
ACC-000059,7864.758771974828,352,FR,9119.03,5134.52,1.15948006692921,3,1,39.1,0.437,23,0.12,"[""XX"", ""US"", ""ZZ""]",True,DEV-L00562,IP-L04746,0.703,0.657,True,0,1,1
ACC-000060,1847.5436455322651,2178,BR,1582.42,1332.54,0.8564990807980533,4,4,185.2,0.158,52,0.04,"[""AU"", ""IT"", ""MX""]",False,DEV-L01193,IP-L00068,0.916,0.969,True,0,0,0
ACC-000061,10229.530520343931,861,US,10567.74,3206.26,1.0330617248608174,9,5,29.2,0.697,18,0.07,"[""IT"", ""ZZ"", ""YY"", ""DE""]",True,DEV-L02428,IP-L06200,0.795,0.713,True,0,1,1
ACC-000062,7438.87821938111,1384,IN,8796.95,5976.24,1.182564466665404,6,5,24.0,0.321,36,0.053,"[""NL"", ""GB""]",False,DEV-L03598,IP-L00573,0.762,0.883,True,1,1,2
ACC-000063,3271.587612559049,608,XX,2035.52,1168.38,0.622182355052559,9,3,58.2,0.426,28,0.465,"[""GB"", ""CA"", ""YY"", ""IT"", ""SG"", ""XX""]",True,DEV-L01478,IP-L06127,0.909,0.778,True,0,1,1
ACC-000064,3416.9490608694496,537,SG,4325.78,1413.67,1.265977557341378,4,3,36.7,0.673,46,0.119,"[""BR"", ""SG"", ""MX"", ""CA""]",False,DEV-L06676,IP-L02196,0.7,0.968,True,0,1,1
ACC-000065,4472.058244550815,611,XX,5039.94,2926.46,1.1269833317998414,7,8,24.0,0.419,41,0.057,"[""MX"", ""ES"", ""YY""]",True,DEV-L08166,IP-L08846,0.663,0.591,True,2,2,4
ACC-000066,17578.79547922439,255,US,15347.43,8138.71,0.873064856698972,7,8,30.0,0.47,52,0.181,"[""YY"", ""ES"", ""GB""]",True,DEV-L04650,IP-L08484,0.675,0.827,True,1,1,2
ACC-000067,4167.699191149779,128,AU,5971.7,2555.42,1.4328522491679736,3,7,45.4,0.572,36,0.28,"[""DE"", ""GB""]",False,DEV-L04526,IP-L04412,0.909,0.961,True,1,1,2
ACC-000068,3221.0859943113032,721,CA,2784.58,967.01,0.8644854887701898,9,5,26.9,0.653,47,0.186,"[""CA"", ""SG"", ""MX""]",False,DEV-L02593,IP-L06852,0.755,0.893,True,0,1,1
ACC-000069,3232.50704635789,672,NL,6955.38,5384.9,2.151698322150567,4,1,24.0,0.226,44,0.147,"[""SG""]",False,DEV-L07971,IP-L07822,0.684,0.892,True,0,0,0
ACC-000070,1558.332207276602,1681,IN,2041.89,1357.98,1.3103033936426842,3,8,78.8,0.335,28,0.116,"[""IN"", ""NL""]",False,DEV-L05340,IP-L03823,0.826,0.846,False,2,0,2
ACC-000071,7661.129671365931,951,IN,7555.11,4944.32,0.9861609767283701,7,2,92.0,0.346,22,0.186,"[""BR"", ""AU"", ""DE"", ""YY"", ""MX""]",True,DEV-L02429,IP-L07444,0.843,0.831,True,1,2,3
ACC-000072,7804.589576453009,260,ES,10496.08,8853.11,1.344859735164638,6,1,24.0,0.157,48,0.091,"[""XX"", ""ZZ""]",True,DEV-L07147,IP-L07631,0.835,0.79,True,1,0,1
ACC-000073,852.1656795784908,132,US,1222.6,375.8,1.4347031438553925,7,7,235.1,0.693,24,0.337,"[""GB"", ""IT"", ""IN"", ""NL""]",False,DEV-L06718,IP-L08218,0.788,0.775,True,1,0,1
ACC-000074,11894.621093114505,571,MX,8204.66,5126.91,0.6897789334218184,2,6,24.0,0.375,48,0.097,"[""US"", ""IT""]",False,DEV-L00051,IP-L00318,0.904,0.92,True,3,1,4
ACC-000075,4401.459022289484,413,IT,4110.71,3583.09,0.9339415766478363,9,5,165.5,0.128,49,0.284,"[""MX"", ""AU""]",False,DEV-L05688,IP-L07018,0.673,0.804,True,2,3,5
ACC-000076,2515.387485107867,464,GB,4691.17,4678.0,1.8649888740798906,12,11,4.2,0.003,27,0.86,"[""BR"", ""ES"", ""IN"", ""DE"", ""NL"", ""MX"", ""XX"", ""US"", ""ZZ""]",True,DEV-C11,IP-C11,0.724,0.431,True,49,43,92
ACC-000077,1909.1072930959542,696,ZZ,1537.49,896.78,0.8053436932567997,6,6,24.0,0.417,37,0.492,"[""CA""]",False,DEV-L03956,IP-L06057,0.699,0.936,True,1,2,3
ACC-000078,2251.665640677278,123,IT,5492.5,1877.11,2.4393067529969645,7,8,24.0,0.658,28,0.8769262942782011,"[""AU"", ""ES""]",False,DEV-L06875,IP-L04431,0.899,0.657,True,0,1,1
ACC-000079,6273.347459496778,217,NL,3306.38,2388.6,0.5270522101254066,8,4,70.2,0.278,28,0.07,"[""IT"", ""BR""]",False,DEV-L07043,IP-L01278,0.712,0.651,True,0,0,0
ACC-000080,5242.014253009544,837,IN,9178.58,9167.03,1.7509636537220943,15,16,3.1,0.001,31,0.667,"[""US"", ""ZZ"", ""FR"", ""NL"", ""XX""]",True,DEV-C03,IP-C04,0.689,0.319,True,49,47,96
ACC-000081,2592.8526091006474,150,ZZ,3384.64,1297.77,1.305371592455031,6,4,35.4,0.617,33,0.123,"[""IN"", ""IT"", ""SG"", ""GB""]",False,DEV-L07874,IP-L06900,0.929,0.687,True,1,2,3
ACC-000082,1605.7585844237415,627,YY,1249.17,853.11,0.7779339877586241,5,7,42.3,0.317,42,0.175,"[""IN"", ""NL"", ""ES"", ""DE"", ""IT""]",False,DEV-L02500,IP-L03464,0.649,0.816,True,3,2,5
ACC-000083,4228.969237540598,1102,BR,3055.46,1601.32,0.722507529704814,7,8,24.0,0.476,30,0.074,"[""NL""]",False,DEV-L07496,IP-L02659,0.717,0.95,True,4,0,4
ACC-000084,2640.5812201372596,941,ZZ,3080.82,1968.23,1.1667207502205683,7,3,249.8,0.361,36,0.142,"[""IN"", ""CA"", ""ES"", ""AU""]",False,DEV-L04656,IP-L05430,0.894,0.788,True,2,3,5
ACC-000085,5144.189231453955,793,GB,5427.63,3826.04,1.0551001602710157,3,5,24.0,0.295,22,0.218,"[""ES"", ""YY"", ""NL"", ""IN""]",True,DEV-L03176,IP-L01860,0.737,0.854,True,4,2,6
ACC-000086,8598.262542560266,633,AU,11766.11,4241.17,1.3684290151435397,5,2,122.9,0.64,54,0.274,"[""US"", ""ES""]",False,DEV-L04354,IP-L00722,0.888,0.91,True,3,1,4
ACC-000087,2662.0734721045555,396,NL,2958.6,1421.79,1.1113902786194145,1,4,97.2,0.519,39,0.359,"[""US"", ""XX""]",True,DEV-L00613,IP-L03331,0.787,0.839,True,2,2,4
ACC-000088,2374.364494752876,399,NL,2907.98,2799.34,1.224742290673971,15,16,72.0,0.037,33,0.797,"[""ES"", ""FR"", ""MX"", ""DE"", ""YY""]",True,DEV-C05,IP-C05,0.3,0.583,True,49,46,95
ACC-000089,9817.176344277186,1606,AU,7190.34,2888.23,0.7324246288914918,8,6,29.5,0.598,22,0.089,"[""MX"", ""IT"", ""US"", ""YY"", ""XX""]",True,DEV-L03116,IP-L00330,0.888,0.81,True,1,0,1
ACC-000090,5415.727921179216,1100,ZZ,8219.71,5672.45,1.517748552643477,8,3,24.0,0.31,38,0.244,"[""SG"", ""ES"", ""AU"", ""XX""]",True,DEV-L05493,IP-L07232,0.804,0.566,True,2,0,2
ACC-000091,6516.8500795274595,1998,AU,6657.39,5338.61,1.0215652786668843,6,8,147.2,0.198,24,0.354,"[""MX"", ""AU""]",False,DEV-L05913,IP-L05913,0.434,0.78,True,2,2,4
ACC-000092,3314.53165163107,710,CA,5021.71,5013.27,1.5150592055819938,23,23,36.9,0.002,21,0.842,"[""ES"", ""BR"", ""FR"", ""ZZ"", ""YY""]",True,DEV-C00,IP-C00,0.339,0.562,False,49,47,96
ACC-000093,10713.558644173827,289,IT,7556.81,5827.29,0.7053500309022724,4,5,24.0,0.229,32,0.105,"[""XX"", ""NL"", ""ES"", ""SG"", ""BR""]",True,DEV-L05611,IP-L00319,0.954,0.736,True,0,0,0
ACC-000094,6563.268655156326,202,FR,4707.05,2793.16,0.7171811502611394,8,4,25.5,0.407,31,0.499,"[""BR"", ""NL"", ""YY""]",True,DEV-L04200,IP-L04791,0.808,0.685,True,0,0,0
ACC-000095,2684.291016425847,584,DE,2316.69,1921.88,0.8630531644571633,6,3,30.2,0.17,28,0.14,"[""CA"", ""GB"", ""DE"", ""YY"", ""ZZ"", ""IT""]",True,DEV-L06742,IP-L04916,0.702,0.736,True,1,0,1
ACC-000096,3170.201436810992,248,ES,14256.03,13935.82,4.496883737394178,12,13,7.4,0.022,49,0.566,"[""IN"", ""GB"", ""SG"", ""NL"", ""MX"", ""US"", ""ZZ"", ""FR"", ""AU"", ""IT""]",True,DEV-C07,IP-C07,0.511,0.527,True,49,46,95
ACC-000097,1276.871496803456,640,YY,2415.68,1220.02,1.891875658914801,8,3,24.0,0.495,21,0.327,"[""ZZ""]",True,DEV-L01793,IP-L06457,0.627,0.821,True,0,2,2
ACC-000098,9535.99977345833,1868,IT,3371.53,2063.09,0.3535583146018824,5,4,24.0,0.388,29,0.109,"[""ES"", ""US"", ""XX""]",True,DEV-L05703,IP-L06170,0.873,0.71,True,0,0,0
ACC-000099,2379.529614824085,276,US,3092.56,2128.21,1.2996527918012002,4,6,24.0,0.312,37,0.118,"[""SG""]",False,DEV-L06644,IP-L07420,0.639,0.946,True,2,2,4
ACC-000100,5058.67001866363,346,GB,6387.83,4935.15,1.2627486207449121,9,4,24.0,0.227,27,0.206,"[""IN"", ""US"", ""NL"", ""DE""]",False,DEV-L08411,IP-L02611,0.575,0.976,True,1,0,1
ACC-000101,3705.580321651439,410,ZZ,7935.89,7926.68,2.1416052340717693,16,18,3.4,0.001,23,0.883,"[""IN"", ""MX"", ""AU"", ""SG"", ""GB"", ""ZZ""]",True,DEV-C05,IP-C06,0.564,0.287,True,49,53,102
ACC-000102,2173.6013006768535,347,ES,3019.62,2700.23,1.3892253583444805,10,7,24.0,0.106,44,0.074,"[""IN""]",False,DEV-L00095,IP-L06041,0.787,0.862,True,0,2,2
ACC-000103,6132.646877097198,64,NL,5983.64,2335.56,0.9757020851567708,8,7,28.8,0.61,44,0.46,"[""GB"", ""FR"", ""CA"", ""MX""]",False,DEV-L08437,IP-L03349,0.781,0.835,True,1,2,3
ACC-000104,1500.3881901010907,254,IN,1315.22,823.48,0.8765843055777083,5,4,35.2,0.374,39,0.165,"[""CA"", ""ES"", ""XX""]",True,DEV-L05247,IP-L05356,0.79,0.56,True,3,0,3
ACC-000105,4139.083130376763,150,AU,7269.39,2256.58,1.756279213823797,6,5,24.0,0.69,47,0.286,"[""DE"", ""ES"", ""SG"", ""MX""]",False,DEV-L01417,IP-L08846,0.916,0.731,False,0,2,2
ACC-000106,2911.02744088443,234,ZZ,5091.94,4865.65,1.7491886027577879,7,9,4.3,0.044,45,0.541,"[""GB"", ""CA"", ""IT"", ""AU"", ""DE"", ""IN"", ""ZZ""]",True,DEV-C00,IP-C00,0.464,0.25,True,49,47,96
ACC-000107,5323.60532480676,601,XX,18853.09,19118.35,3.541414544966164,14,14,11.7,-0.014,47,0.906,"[""IN"", ""IT"", ""YY"", ""ES"", ""XX"", ""DE"", ""SG""]",True,DEV-C04,IP-C04,0.3,0.25,False,49,47,96
ACC-000108,2968.240639904916,479,IN,5718.06,5409.54,1.9264134330726495,15,16,10.9,0.054,35,0.552,"[""BR"", ""AU"", ""SG"", ""NL"", ""FR""]",False,DEV-C00,IP-C01,0.717,0.556,True,49,51,100
ACC-000109,8027.033080210025,424,XX,4697.66,2954.01,0.5852293973199453,8,5,24.0,0.371,30,0.121,"[""MX"", ""GB""]",False,DEV-L08281,IP-L08954,0.806,0.961,True,0,1,1
ACC-000110,2265.7555013043016,664,US,1458.46,836.94,0.6436954728412129,4,5,50.5,0.426,26,0.278,"[""YY"", ""BR"", ""XX""]",True,DEV-L07391,IP-L05132,0.87,0.903,True,0,1,1
ACC-000111,2017.6082598027492,523,AU,902.25,304.95,0.44718669812379047,4,3,25.6,0.662,36,0.106,"[""GB""]",False,DEV-L08289,IP-L05239,0.955,0.823,True,2,2,4
ACC-000112,7253.252145447208,552,NL,6106.58,5243.98,0.8419097278191237,12,7,99.0,0.141,37,0.15,"[""NL"", ""GB"", ""SG"", ""AU""]",False,DEV-L01734,IP-L05120,0.833,0.802,True,0,0,0
ACC-000113,6334.9950283314665,167,MX,17102.48,8724.83,2.699683226252817,2,4,24.0,0.49,27,0.185,"[""XX"", ""IT"", ""GB""]",True,DEV-L02196,IP-L03466,0.559,0.809,True,1,0,1
ACC-000114,2784.1539208621484,306,DE,1865.0,1390.72,0.6698627561591527,11,0,50.3,0.254,33,0.196,"[""CA"", ""IN"", ""NL"", ""ZZ""]",True,DEV-L01721,IP-L01816,0.922,0.822,True,0,0,0
ACC-000115,4058.9813027928926,100,ZZ,4846.4,4252.86,1.1939929590984946,9,7,185.8,0.122,29,0.211,"[""FR"", ""ZZ"", ""BR""]",True,DEV-L05775,IP-L03849,0.943,0.977,True,1,1,2
ACC-000116,5627.96045668074,589,IN,4613.4,3899.99,0.8197283554612945,3,6,53.1,0.155,20,0.273,"[""MX"", ""ZZ"", ""DE"", ""YY""]",True,DEV-L01058,IP-L02322,0.666,0.826,True,1,0,1
ACC-000117,3270.187763768379,186,BR,2985.46,2118.31,0.9129332188236798,8,2,30.2,0.29,24,0.325,"[""AU"", ""YY""]",True,DEV-L08179,IP-L04359,0.886,0.788,True,1,0,1
ACC-000118,8606.807567093609,1553,IN,5951.55,1850.31,0.6914935109190319,4,7,75.5,0.689,36,0.112,"[""ZZ"", ""MX"", ""FR""]",True,DEV-L05660,IP-L07254,0.733,0.844,True,0,0,0
ACC-000119,2316.907888828788,78,DE,9792.76,8755.5,4.226652517963883,16,16,33.0,0.106,46,0.695,"[""SG"", ""MX"", ""FR"", ""NL"", ""YY"", ""AU"", ""BR"", ""ZZ"", ""DE"", ""GB""]",True,DEV-C06,IP-C06,0.532,0.254,True,49,53,102
